Year/Mont,route_or_line,average_monthly_ridership,countofdates,ObjectId
2019/02,Red Line,199810,28,300
2019/03,Red Line,201833,31,517
2019/04,Red Line,216575,30,535
2019/05,Red Line,216308,31,549
2019/06,Red Line,204143,30,558
2019/07,Red Line,211567,31,567
2019/08,Red Line,208515,31,604
2019/09,Red Line,221332,30,613
2019/10,Red Line,231109,31,622
2019/11,Red Line,194800,30,631
2019/12,Red Line,172293,31,640
2020/01,Red Line,202783,31,649
2020/02,Red Line,199208,29,458
2020/03,Red Line,99412,31,468
2020/04,Red Line,17637,30,477
2020/05,Red Line,20497,31,486
2020/06,Red Line,31360,30,495
2020/07,Red Line,41278,31,506
2020/08,Red Line,47059,31,524
2020/09,Red Line,54810,30,542
2020/10,Red Line,55791,31,580
2020/11,Red Line,49244,30,589
2020/12,Red Line,44807,31,598
2021/01,Red Line,44917,31,757
2021/02,Red Line,48629,28,766
2021/03,Red Line,54943,31,775
2021/04,Red Line,60971,30,784
2021/05,Red Line,67232,31,793
2021/06,Red Line,80697,30,702
2021/07,Red Line,86871,31,711
2021/08,Red Line,91134,31,720
2021/09,Red Line,113461,30,729
2021/10,Red Line,110598,31,738
2021/11,Red Line,102129,30,747
2021/12,Red Line,86285,31,406
2022/01,Red Line,69299,31,415
2022/02,Red Line,93755,28,424
2022/03,Red Line,108370,31,433
2022/04,Red Line,109549,30,442
2022/05,Red Line,112356,31,651
2022/06,Red Line,114378,30,660
2022/07,Red Line,109392,31,669
2022/08,Red Line,112526,31,678
2022/09,Red Line,121242,30,687
2022/10,Red Line,120687,31,696
2022/11,Red Line,115186,30,935
2022/12,Red Line,96568,31,944
2023/01,Red Line,101075,31,953
2023/02,Red Line,102542,28,962
2023/03,Red Line,104568,31,971
2023/04,Red Line,104713,30,980
2023/05,Red Line,109395,31,989
2023/06,Red Line,111933,30,802
2023/07,Red Line,104575,31,811
2023/08,Red Line,106054,31,820
2023/09,Red Line,109770,30,829
2023/10,Red Line,105577,31,838
2023/11,Red Line,98975,30,847
2023/12,Red Line,89713,31,857
2024/01,Red Line,90988,31,866
2024/02,Red Line,90025,29,874
2024/03,Red Line,99172,31,883
2024/04,Red Line,111446,30,892
2024/05,Red Line,100565,31,901
2024/06,Red Line,103925,30,910
2024/07,Red Line,87473,31,919
2024/08,Red Line,95345,31,928
